precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
3000,200.0,Casa Barrio Cerrado Abril Club de Campo,"Abril Club de Campo, Guillermo Hudson",800,180,4,3,3,17,0,N,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Sur (GBA),3.75,16.666666666666668,5.401724137931034,13.679012345679013,2866.6666666666665,2783.3333333333335,2
2800,800.0,Casa en Venta  de Cuatro Ambientes con Piscina en Abril Club de Campo- Apto Credito,"Abril Club de Campo, Guillermo Hudson",1000,200,4,2,3,20,0,E,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Zona Sur (GBA),2.8,14.0,5.401724137931034,13.679012345679013,2866.6666666666665,2783.3333333333335,2
3000,0,Country Abril Autopista Buenos Aires-la Plata Km33 0,"Abril Club de Campo, Guillermo Hudson",1000,250,5,2,3,17,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Sur (GBA),3.0,12.0,2.5516666666666667,9.855756366189896,2740.0,2783.3333333333335,2
2900,0,Country Club de Campo Abril,"Abril Club de Campo, Guillermo Hudson",800,311,5,4,4,10,0,0,Muy luminoso,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,1,1,0,0,0,1,0,Zona Sur (GBA),3.625,9.32475884244373,2.5516666666666667,9.855756366189896,2740.0,2783.3333333333335,2
2800,0,Abril Club de Campo,"Abril Club de Campo, Guillermo Hudson",1000,300,5,3,4,25,0,0,Muy luminoso,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,1,1,0,0,1,0,1,1,1,0,0,0,1,0,Zona Sur (GBA),2.8,9.333333333333334,2.5516666666666667,9.855756366189896,2740.0,2783.3333333333335,2
2500,0,Propiedad con Piscina en Abril Club de Campo,"Abril Club de Campo, Guillermo Hudson",1200,290,5,2,3,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Sur (GBA),2.0833333333333335,8.620689655172415,2.5516666666666667,9.855756366189896,2740.0,2783.3333333333335,2
3000,300.0,Guillermo Enrique Hudson,"Abril Club de Campo, Guillermo Hudson",2000,300,6,5,4,25,0,0,Muy luminoso,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,0,0,1,1,1,1,1,0,1,0,0,0,Zona Sur (GBA),1.5,10.0,2.3097523567583447,8.327519165560961,2842.8571428571427,2783.3333333333335,2
3000,0,Abril Club de Campo,"Abril Club de Campo, Guillermo Hudson",1500,450,6,5,5,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,1,0,1,0,0,0,1,0,Zona Sur (GBA),2.0,6.666666666666667,2.3097523567583447,8.327519165560961,2842.8571428571427,2783.3333333333335,2
2900,0,Abril Club De Campo Lote / N° 0,"Abril Club de Campo, Guillermo Hudson",1000,400,6,4,5,17,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,1,0,1,0,1,0,1,0,Zona Sur (GBA),2.9,7.25,2.3097523567583447,8.327519165560961,2842.8571428571427,2783.3333333333335,2
2500,300.0,Club de Campo Abril,"Abril Club de Campo, Guillermo Hudson",2000,250,6,4,5,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Sur (GBA),1.25,10.0,2.3097523567583447,8.327519165560961,2842.8571428571427,2783.3333333333335,2
