provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",4,2866.6666666666665,13.679012345679013
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",5,2740.0,9.855756366189896
Zona Sur (GBA),"Abril Club de Campo, Guillermo Hudson",6,2842.8571428571427,8.327519165560961
Zona Norte (GBA),"Acacias, El Cazador",4,1115.3846153846155,6.446588311435908
Zona Norte (GBA),"Acacias, El Cazador",5,1160.0,6.299829176101269
Zona Norte (GBA),"Acacias, El Cazador",6,1400.0,7.228815643832246
Zona Norte (GBA),"Acacias, El Cazador",7,1000.0,5.681818181818182
Zona Norte (GBA),"Acassuso, San Isidro",1,343.3333333333333,11.222222222222221
Zona Norte (GBA),"Acassuso, San Isidro",2,450.0,11.376928046489324
Zona Norte (GBA),"Acassuso, San Isidro",3,1235.0,14.087931716524112
Zona Norte (GBA),"Acassuso, San Isidro",4,1230.5882352941176,11.989651993687357
Zona Norte (GBA),"Acassuso, San Isidro",5,1889.8,10.67797203404551
Zona Norte (GBA),"Acassuso, San Isidro",6,2700.0,9.166858457997698
Zona Norte (GBA),"Acassuso, San Isidro",7,4266.666666666667,9.395997474360826
Zona Norte (GBA),"Acassuso, San Isidro",8,5250.0,8.700205633926293
Zona Norte (GBA),"Acassuso, San Isidro",9,6500.0,12.685680332739157
Zona Norte (GBA),"Acassuso, San Isidro",11,4900.0,9.8
Zona Sur (GBA),"Adrogué, Almirante Brown",1,286.6666666666667,9.558730158730159
Zona Sur (GBA),"Adrogué, Almirante Brown",2,347.14285714285717,8.075204995505748
Zona Sur (GBA),"Adrogué, Almirante Brown",3,605.0,7.539959674828096
Zona Sur (GBA),"Adrogué, Almirante Brown",4,770.0,8.012108411301961
Zona Sur (GBA),"Adrogué, Almirante Brown",5,1250.0,6.944444444444445
Zona Norte (GBA),"Albanueva, Rincón de Milberg",3,1500.0,11.505681818181818
Zona Norte (GBA),"Albanueva, Rincón de Milberg",4,7000.0,17.5
Zona Norte (GBA),"Albanueva, Rincón de Milberg",5,6300.0,15.75
Zona Norte (GBA),"Albanueva, Rincón de Milberg",6,5400.0,10.465543941153697
Zona Norte (GBA),"Albanueva, Rincón de Milberg",7,4640.0,11.320497527963543
Zona Norte (GBA),"Araucarias, El Cazador",4,1530.0,9.231694120915678
Zona Norte (GBA),"Araucarias, El Cazador",5,1683.3333333333333,9.47348484848485
Zona Norte (GBA),"Araucarias, El Cazador",6,1400.0,8.9171974522293
Zona Norte (GBA),"Arboris Laslomas, San Isidro",1,975.0,13.928571428571427
Zona Norte (GBA),"Arboris Laslomas, San Isidro",2,740.0,14.08087027914614
Zona Norte (GBA),"Arboris Laslomas, San Isidro",3,2000.0,20.0
Zona Norte (GBA),"Arboris Laslomas, San Isidro",5,2300.0,18.4
Zona Sur (GBA),"Avellaneda, Avellaneda",2,310.7142857142857,7.465208425271373
Zona Sur (GBA),"Avellaneda, Avellaneda",3,465.38461538461536,8.072823142374173
Zona Sur (GBA),"Avellaneda, Avellaneda",4,566.6666666666666,7.314814814814814
Zona Sur (GBA),"Avellaneda, Avellaneda",6,1450.0,5.559210526315789
Zona Norte (GBA),"Ayres de Pilar, Manuel Alberti",3,1000.0,12.5
Zona Norte (GBA),"Ayres de Pilar, Manuel Alberti",4,2800.0,10.0
Zona Norte (GBA),"Ayres de Pilar, Manuel Alberti",5,3250.0,8.853125
Zona Norte (GBA),"Ayres de Pilar, Manuel Alberti",6,2800.0,8.75764157014157
Zona Norte (GBA),"Ayres de Pilar, Manuel Alberti",7,3800.0,13.768115942028986
Zona Norte (GBA),"Ayres de Pilar, Manuel Alberti",8,3500.0,9.469934640522876
Zona Norte (GBA),"Bahía Grande, Nordelta",1,800.0,18.695652173913043
Zona Norte (GBA),"Bahía Grande, Nordelta",2,1005.3846153846154,17.27183414163392
Zona Norte (GBA),"Bahía Grande, Nordelta",3,1180.0,12.923825546561833
Zona Norte (GBA),"Bahía Grande, Nordelta",4,2.0,0.012738853503184714
Zona Sur (GBA),"Banfield, Lomas de Zamora",1,267.0,8.665743284493285
Zona Sur (GBA),"Banfield, Lomas de Zamora",2,354.0,8.356998401478638
Zona Sur (GBA),"Banfield, Lomas de Zamora",3,430.7142857142857,6.169985460625854
Zona Sur (GBA),"Banfield, Lomas de Zamora",5,2150.0,4.989205526770293
Zona Sur (GBA),"Banfield, Lomas de Zamora",6,1200.0,4.0
Zona Sur (GBA),"Banfield, Lomas de Zamora",10,800.0,4.444444444444445
Zona Norte (GBA),"Barbarita, General Pacheco",4,2500.0,12.077294685990339
Zona Norte (GBA),"Barbarita, General Pacheco",5,2500.0,12.077294685990339
Zona Norte (GBA),"Barbarita, General Pacheco",7,2200.0,9.161425576519918
Zona Norte (GBA),"Barrancas del Lago, Nordelta",4,2200.0,10.476190476190476
Zona Norte (GBA),"Barrancas del Lago, Nordelta",5,2800.0,8.446537323028062
Zona Norte (GBA),"Barrancas del Lago, Nordelta",7,2830.0,8.95952380952381
Zona Norte (GBA),"Barrio El Aljibe, Manzanares",4,1100.0,7.330917874396135
Zona Norte (GBA),"Barrio El Aljibe, Manzanares",5,1200.0,7.775891341256367
Zona Norte (GBA),"Barrio El Aljibe, Manzanares",6,1400.0,7.174565996142188
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",2,900.0,18.705962059620596
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",3,1600.0,18.125
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",4,2185.714285714286,22.307587149692413
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",5,3557.1428571428573,12.392150575972199
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",6,4066.6666666666665,13.945135566188197
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",7,4175.0,12.792872536945813
Zona Sur (GBA),"Barrio Privado Terralagos, Canning",8,3990.0,9.851851851851851
Zona Norte (GBA),"Beccar Plaza, San Isidro",2,700.0,12.53382885458357
Zona Norte (GBA),"Beccar Plaza, San Isidro",3,1150.0,15.51012753188297
Zona Norte (GBA),"Beccar Plaza, San Isidro",4,1175.0,9.791666666666668
Zona Norte (GBA),"Bella Vista, San Miguel",2,320.0,6.4
Zona Norte (GBA),"Bella Vista, San Miguel",3,1260.0,8.627112827112827
Zona Norte (GBA),"Bella Vista, San Miguel",4,883.3333333333334,6.079323513366067
Zona Norte (GBA),"Bella Vista, San Miguel",5,1933.3333333333333,9.577342047930282
Zona Norte (GBA),"Bella Vista, San Miguel",6,1600.0,6.4
Zona Norte (GBA),"Bella Vista, San Miguel",7,4000.0,5.0
