precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,cantidad_de_cocheras,cantidad_de_toiletes,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,lavavajillas,quincho,sum,sauna,termotanque,vigilancia,ascensor,caja_fuerte,internet,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,acceso_movilidad_reducida,provincia,limpieza_de_ropa,equipamiento_de_cocina,disposicion_Contrafrente,disposicion_Frente,disposicion_Interno,disposicion_Lateral,orientacion_E,orientacion_N,orientacion_NE,orientacion_NO,orientacion_O,orientacion_S,orientacion_SE,orientacion_SO,luminosidad_Luminoso,luminosidad_Muy luminoso,luminosidad_Poco luminoso,estado_general_Excelente,estado_general_Muy bueno,estado_general_Reciclado,precio_m2,precio_m2_medio_localidad,precio_medio_localidad
800,0,Avenida Córdoba 2700,"Abasto, Capital Federal",72,50,3,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ciudad Autonoma de Buenos Aires,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.11111111111111,9.524525479402666,418.17857142857144
700,0,Gallo al 600,"Abasto, Capital Federal",70,70,3,2,2,20,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Ciudad Autonoma de Buenos Aires,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,9.524525479402666,418.17857142857144
580,55,Avenida Corrientes,"Abasto, Capital Federal",60,60,3,1,2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ciudad Autonoma de Buenos Aires,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9.666666666666666,9.524525479402666,418.17857142857144
400,60,Valentin Gomez 3464,"Abasto, Capital Federal",53,52,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Ciudad Autonoma de Buenos Aires,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.547169811320755,9.524525479402666,418.17857142857144
400,0,Boulogne Sur Mer 556,"Abasto, Capital Federal",49,41,2,1,1,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Ciudad Autonoma de Buenos Aires,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16326530612245,9.524525479402666,418.17857142857144
400,65,Ecuador 654,"Abasto, Capital Federal",38,38,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ciudad Autonoma de Buenos Aires,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.526315789473685,9.524525479402666,418.17857142857144
350,75,CORRIENTES 3100,"Abasto, Capital Federal",35,35,0,1,0,10,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Ciudad Autonoma de Buenos Aires,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,9.524525479402666,418.17857142857144
330,70,Av. Corrientes  al 3100,"Abasto, Capital Federal",30,30,1,1,1,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ciudad Autonoma de Buenos Aires,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,9.524525479402666,418.17857142857144
330,51,Humahuaca  al 3800,"Abasto, Capital Federal",40,37,2,1,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciudad Autonoma de Buenos Aires,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.25,9.524525479402666,418.17857142857144
300,30,Jean Jaures 863,"Abasto, Capital Federal",33,33,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciudad Autonoma de Buenos Aires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.090909090909092,9.524525479402666,418.17857142857144
