precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
95,0,Ituzaingó  al 1500,"Abasto, Rosario",22,22,1,1,1,25,Interno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,4.318181818181818,4.318181818181818,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
120, $ 25.000,Paraguay al 1800,"Abasto, Rosario",20,20,1,1,1,5,Contrafrente,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Santa Fe,6.0,6.0,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
120, $ 35.000,Corrientes  al 1700,"Abasto, Rosario",18,18,1,1,1,38,Contrafrente,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,6.666666666666667,6.666666666666667,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
130, $ 50.000,Mitre 1747,"Abasto, Rosario",25,25,1,1,1,14,Contrafrente,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,5.2,5.2,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
130, $ 40.000,Buenos Aires  al 2500,"Abasto, Rosario",30,30,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,4.333333333333333,4.333333333333333,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
130, $ 16.533,Cochabamba 1333,"Abasto, Rosario",28,26,1,1,1,5,Frente,N,Muy luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,4.642857142857143,5.0,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
137,0,Juan Manuel de Rosas  al 2032 01-07,"Abasto, Rosario",23,23,1,1,1,20,Contrafrente,O,Muy luminoso,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Santa Fe,5.956521739130435,5.956521739130435,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
140,0,Paraguay 1988,"Abasto, Rosario",25,25,1,0,1,10,Frente,E,Muy luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,5.6,5.6,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
150, $ 49.000,Ituzaingo al 1800,"Abasto, Rosario",28,28,1,1,1,20,Contrafrente,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,5.357142857142857,5.357142857142857,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
160, $ 25.000,COCHABAMBA 1379,"Abasto, Rosario",34,34,1,1,1,2,Frente,N,Muy luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,4.705882352941177,4.705882352941177,5.20227177380484,5.451165338967645,150.94444444444446,253.33928571428572,Santa Fe
