provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad
Santa Fe,"Abasto, Rosario",1,150.94444444444446,5.451165338967645
Santa Fe,"Abasto, Rosario",2,216.66666666666666,4.971027797636522
Santa Fe,"Abasto, Rosario",3,262.6923076923077,5.055274502172765
Santa Fe,"Abasto, Rosario",4,232.5,4.276785714285714
Santa Fe,"Abasto, Rosario",5,351.6666666666667,4.605820105820106
Santa Fe,"Abasto, Rosario",6,420.0,5.7534246575342465
Santa Fe,"Abasto, Rosario",7,350.0,4.666666666666667
Santa Fe,"Abasto, Rosario",8,1200.0,3.828274541974296
Cordoba,"Alberdi, Córdoba",1,208.33333333333334,6.172029165933684
Cordoba,"Alberdi, Córdoba",2,238.33333333333334,5.3584471090783135
Cordoba,"Alberdi, Córdoba",3,253.46153846153845,5.244115956732779
Cordoba,"Alberdi, Córdoba",4,285.0,5.195906566551728
Cordoba,"Alberdi, Córdoba",6,360.0,6.0
Cordoba,"Alberdi, Córdoba",7,600.0,7.0588235294117645
Cordoba,"Alberdi, Córdoba",9,2600.0,26.0
Santa Fe,"Alberdi, Rosario",1,102.5,4.227941176470589
Santa Fe,"Alberdi, Rosario",2,193.33333333333334,4.73635477582846
Santa Fe,"Alberdi, Rosario",3,410.0,5.438453159041394
Santa Fe,"Alberdi, Rosario",5,330.0,3.1132075471698113
Santa Fe,"Alberdi, Rosario",6,1150.0,5.0
Cordoba,"Alta Córdoba, Córdoba",1,320.0,7.030792682926829
Cordoba,"Alta Córdoba, Córdoba",2,261.0,5.928046917621385
Cordoba,"Alta Córdoba, Córdoba",3,319.44444444444446,5.601316181690533
Cordoba,"Alta Córdoba, Córdoba",4,313.3333333333333,4.933333333333334
Cordoba,"Alta Córdoba, Córdoba",5,550.0,4.866071428571429
Cordoba,"Alta Córdoba, Córdoba",6,444.5,4.229122807017544
Cordoba,"Alta Córdoba, Córdoba",7,390.0,6.724137931034483
Cordoba,"Alta Córdoba, Córdoba",8,700.0,2.75
Cordoba,"Alto Alberdi, Córdoba",1,170.0,6.381904761904762
Cordoba,"Alto Alberdi, Córdoba",2,244.375,5.660908212224002
Cordoba,"Alto Alberdi, Córdoba",3,310.7142857142857,5.927447983348605
Cordoba,"Alto Alberdi, Córdoba",4,290.0,5.8
Cordoba,"Alto Alberdi, Córdoba",5,475.0,6.676587301587302
Cordoba,"Alto Verde, Córdoba",2,500.0,10.0
Cordoba,"Alto Verde, Córdoba",4,1085.0,8.794871794871796
Cordoba,"Alto Verde, Córdoba",5,1400.0,7.5675675675675675
Cordoba,"Alto Verde, Córdoba",6,1000.0,3.3333333333333335
Cordoba,"Alto Verde, Córdoba",7,480.0,4.8
Cordoba,"Argüello, Córdoba",1,200.0,6.666666666666667
Cordoba,"Argüello, Córdoba",2,320.0,7.115742861505574
Cordoba,"Argüello, Córdoba",3,600.0,5.436659589525831
Cordoba,"Argüello, Córdoba",4,624.0,4.580262902066474
Cordoba,"Argüello, Córdoba",5,767.1428571428571,4.9854172438206055
Cordoba,"Argüello, Córdoba",6,950.0,3.8
Cordoba,"Argüello, Córdoba",10,2000.0,4.705882352941177
Santa Fe,"Arroyito, Rosario",1,173.33333333333334,6.959098228663446
Santa Fe,"Arroyito, Rosario",2,191.66666666666666,4.6739054844318
Santa Fe,"Arroyito, Rosario",3,260.0,5.246527777777778
Santa Fe,"Arroyito, Rosario",4,325.0,3.592857142857143
Santa Fe,"Arroyito, Rosario",5,100.0,2.2222222222222223
Santa Fe,"Arroyito, Rosario",10,2500.0,4.545454545454546
Tucuman,"Barrio Norte, San Miguel de Tucumán",1,167.5,6.833333333333334
Tucuman,"Barrio Norte, San Miguel de Tucumán",2,350.0,9.210526315789474
Tucuman,"Barrio Norte, San Miguel de Tucumán",3,500.0,5.884353741496598
Tucuman,"Barrio Norte, San Miguel de Tucumán",4,550.0,6.111111111111111
Mendoza,"Barrio Privado Dalvian, Ciudad de Mendoza",4,800.0,6.121212121212121
Mendoza,"Barrio Privado Dalvian, Ciudad de Mendoza",6,1243.3333333333333,5.450821104122991
Mendoza,"Barrio Privado Dalvian, Ciudad de Mendoza",8,900.0,2.5714285714285716
Salta,"Centro Ciudad, Salta",1,350.0,8.974358974358974
Salta,"Centro Ciudad, Salta",2,383.3333333333333,9.038624542379235
Salta,"Centro Ciudad, Salta",3,485.0,5.68041237113402
Salta,"Centro Ciudad, Salta",6,1600.0,10.666666666666666
Salta,"Centro Ciudad, Salta",8,2000.0,8.0
Salta,"Centro Ciudad, Salta",10,1500.0,7.894736842105263
Salta,"Centro Ciudad, Salta",13,1250.0,5.166666666666666
Cordoba,"Centro, Córdoba",1,190.25,5.765292667235056
Cordoba,"Centro, Córdoba",2,244.67741935483872,5.990791556058203
Cordoba,"Centro, Córdoba",3,261.3953488372093,5.728739448341296
Cordoba,"Centro, Córdoba",4,378.8888888888889,4.845378883976844
